type,path_or_id,status,loaded_or_referenced,references,note
section,story,REVIEW,visible/active,,Introductory story overview; candidate to compress or merge into transitionLogic.
section,transitionLogic,KEEP,visible/active,,Conceptual chain: Extent -> Pressure -> Implementation -> Pathways.
section,guidedStory,RETIRE CANDIDATE,retired,,Retired B64 section; old scroll-driven story system.
section,layerProvenance,REVIEW,visible/active,,Layer-reading note; keep but likely shorten/reposition.
section,centralGlobalMapStory,KEEP,visible/active,,Main PNG-based atlas story; do not touch in cleanup.
section,pathwayEvidenceMatrix,KEEP,visible/active,,Bridge from spatial pressure to transition pathways.
section,hotspots,KEEP,visible/active,,Country-level pressure explorer; keep as evidence explorer.
section,map,KEEP,visible/active,,Evidence nodes / region examples; keep if supporting evidence remains useful.
section,pathways,KEEP,visible/active,,Transition pathway cards; keep but group with evidence/pathway interpretation.
section,fit,KEEP,visible/active,,South Germany fit matrix; keep but strengthen relation to BW endpoint.
section,methodology,KEEP,visible/active,,Method / limitations; keep.
section,data,KEEP,visible/active,,Prototype datasets; keep.
section,bwPeatLayer,REVIEW,visible/active,,Old BW GeoJSON interactive layer; review after central BW PNG story is stable.
script,src/app.js,KEEP,loaded in index,,Evidence/pathways/fit/data app logic.
script,src/bw_peat_layer.js,REVIEW,loaded in index,,Old interactive BW BK50 GeoJSON map section.
script,src/central_global_map_story.js,KEEP,loaded in index,,Main central PNG map story metadata/controller.
script,src/central_layer_state_hardener.js,KEEP,loaded in index,,Authoritative central PNG layer opacity controller.
script,src/central_stage_label_fix.js,KEEP,loaded in index,,Central story label synchronizer.
script,src/central_step_state_bridge.js,KEEP,loaded in index,,Central story step-state bridge.
script,src/emissions_metric_scrolly.js,REVIEW,not loaded in index,,Untracked/legacy emissions metric scrolly module; review.
script,src/gpm2_context_images.js,RETIRE CANDIDATE,loaded in index,,Old guidedStory image context renderer.
script,src/hotspot_base_layer.js,KEEP,loaded in index,,Base country layer for hotspot map.
script,src/hotspots.js,KEEP,loaded in index,,Country hotspot table/map interaction.
script,src/scrolly_story.js,RETIRE CANDIDATE,loaded in index,,Old guidedStory scroll-state driver.
