section_no,selector,heading,roles,has_img,has_iframe,has_svg,role_summary,redundancy_note,excerpt
1,#problem .hero,Moorbodenschutz braucht räumliche Orientierung,global_context; frame_mismatch; value_chain; water_governance,False,False,False,Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Moore · Klimaschutz · regionale Planung Moorbodenschutz braucht räumliche Orientierung Wiedervernässung ist nicht nur eine ökologische Maßnahme. Sie verändert Nutzung, Betriebe, Wertschöpfung und Planung. 01 Kleine Fläche, große Wirkung Moore nehmen geringe Fl"
2,#story .section.is-retired,Sechsteilige Kartenstory,,False,False,False,Keine klare Karten-/Grafikrolle erkannt.,niedrig,Kartenfolge Sechsteilige Kartenstory
3,.b131-scope-section,"Fachlicher Demonstrator, keine Eignungskarte",value_chain; water_governance,False,False,False,These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Einordnung Fachlicher Demonstrator, keine Eignungskarte Diese Seite ordnet Moorbodenschutz räumlich ein und zeigt typische Zusammenhänge von Boden, Nutzung, Wasser und Wertschöpfung. Sie dient der Orientierung und Diskussion, nicht der Entscheidung über einzel"
4,#transitionLogic .transition-logic-block,"Moorbodenschutz wird erst mit Boden, Nutzung und Wasserstand planbar",frame_mismatch; value_chain; water_governance,False,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Kernargument Moorbodenschutz wird erst mit Boden, Nutzung und Wasserstand planbar Planbar wird Moorschutz erst, wenn Bodenkulissen, Nutzungskontexte, Wasserstand, betriebliche Fragen und mögliche Wertschöpfungsketten zusammen betrachtet werden."
5,#b119ClimateMechanism .b119-fachblock,"Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert",global_context; frame_mismatch; water_governance,False,False,False,Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"vorsichtig: schematische Planungsaussage, keine zusätzliche Detailkarte erzwingen","Grundlagen Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert Moorböden speichern Kohlenstoff im Torf. Werden sie entwässert, gelangt Sauerstoff in den Torfkörper; Torf wird abgebaut und es entstehen langfristige Treibhausgasemissionen – vor al"
6,.b136-frame-bridge,Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage,global_context; frame_mismatch; value_chain; water_governance,False,False,False,Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Frame-Mismatch Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage Globale Karten erklären, warum Moore relevant sind. Die Umsetzung entscheidet sich aber dort, wo Wasserstand, Nutzung, Eigentum, Betriebe und Wertschöpfungsketten zusamm"
7,#centralGlobalMapStory .central-map-story,Wo liegen die Moore?,global_context; frame_mismatch; water_governance; method_sources,True,False,False,"Kontext: Relevanz und Maßstabswechsel vorbereiten. | Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen. | Transparenz: Methodik, Quellen und Grenzen bündeln.",behalten: Kontext-/Maßstabskarte; nicht mit regionaler Detailkarte vermischen,Moore sind räumlich konzentriert und klimatisch wirksam Moore sind räumlich stark konzentriert. Moorkontext Datenbasis: Global Peatland Map 2.0 und FAOSTAT-Emissionsdaten zu drainierten organischen Böden; eigene kartografische Aufbereitung. 01 Wo liegen die Mo
8,#moor-primer .section.moore-primer-section.moore-primer-bridge,Der Wasserstand macht aus Moorboden Speicher oder Quelle,frame_mismatch; water_governance,False,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,"vorsichtig: schematische Planungsaussage, keine zusätzliche Detailkarte erzwingen","Moore verstehen Der Wasserstand macht aus Moorboden Speicher oder Quelle Ein Moor ist kein gewöhnlicher Boden. Solange Torf nass bleibt, speichert er Kohlenstoff; wird er entwässert, wird er zur dauerhaften Emissionsquelle. Darum führt die Oberschwaben-Story v"
9,#b79RegionalImplementation .b79-section.b79-regional-implementation,In Oberschwaben wird Moorbodenschutz zur konkreten Nutzungsfrage,frame_mismatch; value_chain,False,False,False,Narrative Brücke: globale Klimabegründung trifft lokale Umsetzungslogik. | These/Climax: Engpass hinter dem Feld sichtbar machen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Regionale Planung In Oberschwaben wird Moorbodenschutz zur konkreten Nutzungsfrage In Baden-Württemberg wird Moorschutz zur konkreten Planungsfrage: Welche Nutzungskontexte sind berührt, welche betrieblichen Fragen entstehen, welche Produkte können tragfähig w"
10,#b79Pathways .b79-section.b79-pathways,Unterschiedliche Flächen brauchen unterschiedliche Transformationspfade,value_chain; water_governance,False,False,False,These/Climax: Engpass hinter dem Feld sichtbar machen. | Planungslogik: Parzelle/Betrieb/Wasser-Einheit trennen.,kein Kartenersatz: Wertschöpfungslogik bleibt separates Climax-Bild,"Transformationspfade Unterschiedliche Flächen brauchen unterschiedliche Transformationspfade Die zentrale Aufgabe ist nicht die eine Maßnahme, sondern die passende Kombination aus Wasserstand, Nutzung, Betriebsperspektive und öffentlicher Förderung. A Schützen"
