section_id,section_role,tag,priority,flags,flag_terms,suggested_action,current_text,rewrite_de,comment,source_hint
,,p,high,meta_tool_language,prototype; mvp,rewrite_to_subject_matter,Portfolio prototype · Literature-driven MVP,,,class=eyebrow
,,h1,high,meta_tool_language,atlas,rewrite_to_subject_matter,Peatland Transition Atlas,,,
,,p,medium,probably_english,,translate_and_tighten,Mapping the space between drainage-based agriculture and rewetting-compatible land use.,,,class=lead
,,a,high,meta_tool_language,story,rewrite_to_subject_matter,Story,,,
,,a,high,,,review,Hotspots,,,
,,a,high,,,review,Evidence Map,,,
,,a,high,,,review,Pathways,,,
,,a,high,,,review,South Germany Fit,,,
,,a,high,,,review,Method,,,
,,a,high,,,review,Data,,,
,,h2,high,probably_english,,translate_and_tighten,The climate problem is spatial. The transition problem is systemic.,,,
,,p,high,probably_english; meta_tool_language; too_long,atlas; prototype,rewrite_to_subject_matter,"This prototype turns a curated peatland rewetting literature review into an exploratory atlas: where international evidence comes from, what transition pathways it supports, and which options might be relevant for South German dairy, forage and biogas regions.",,,
,,span,low,,,review,—,,,class=metric
,,span,low,,,review,papers,,,class=label
,,span,low,,,review,transition pathways,,,class=label
,,span,low,,,review,evidence regions,,,class=label
transitionLogic,conceptual-frame,p,high,meta_tool_language,atlas,rewrite_to_subject_matter,Atlas framing,,,class=section-kicker
transitionLogic,conceptual-frame,h2,high,probably_english,,translate_and_tighten,From peatland extent to transition priorities,,,
transitionLogic,conceptual-frame,p,high,probably_english; meta_tool_language; method_boundary_check,atlas; prototype; priority,rewrite_to_subject_matter,"This prototype is not a general peatland-awareness atlas. It tests how spatial peatland extent, drained organic-soil emissions, national implementation layers and literature evidence can be linked into a transition-priority workflow.",,,class=transition-logic-lede
transitionLogic,conceptual-frame,span,low,,,review,01,,,class=chain-step
transitionLogic,conceptual-frame,h3,high,,,review,Extent,,,
transitionLogic,conceptual-frame,p,medium,probably_english,,translate_and_tighten,Global Peatland Map 2.0 shows where peat-dominated and peat-in-soil-mosaic areas occur.,,,
transitionLogic,conceptual-frame,small,low,,,review,Context layer,,,
transitionLogic,conceptual-frame,span,low,,,review,02,,,class=chain-step
transitionLogic,conceptual-frame,h3,high,,,review,Pressure,,,
transitionLogic,conceptual-frame,p,medium,,,review,Country hotspot data show where drained organic-soil emissions are concentrated.,,,
transitionLogic,conceptual-frame,small,low,,,review,Emissions layer,,,
transitionLogic,conceptual-frame,span,low,,,review,03,,,class=chain-step
transitionLogic,conceptual-frame,h3,high,,,review,Implementation,,,
transitionLogic,conceptual-frame,p,medium,probably_english,,translate_and_tighten,Germany and Baden-Württemberg layers show how global evidence becomes spatially constrained.,,,
transitionLogic,conceptual-frame,small,low,,,review,Planning boundary,,,
transitionLogic,conceptual-frame,span,low,,,review,04,,,class=chain-step
transitionLogic,conceptual-frame,h3,high,,,review,Pathways,,,
transitionLogic,conceptual-frame,p,medium,probably_english,,translate_and_tighten,"Literature evidence links spatial context to wet use, paludiculture, grazing, biomass and governance options.",,,
transitionLogic,conceptual-frame,small,low,probably_english,,translate_and_tighten,Transition evidence,,,
transitionLogic,conceptual-frame,h3,high,meta_tool_language,atlas,rewrite_to_subject_matter,What this atlas is,,,
transitionLogic,conceptual-frame,p,high,probably_english; meta_tool_language,prototype,rewrite_to_subject_matter,"A data-visualization and decision-support prototype that connects spatial layers, emissions hotspots, regional implementation constraints and evidence-based transition pathways.",,,
transitionLogic,conceptual-frame,h3,high,meta_tool_language,atlas,rewrite_to_subject_matter,What this atlas is not,,,
transitionLogic,conceptual-frame,p,high,meta_tool_language; method_boundary_check,atlas; suitability,rewrite_to_subject_matter,"It is not a parcel-level rewetting suitability map, not a substitute for hydrological planning, and not a general educational Mooratlas replica.",,,
layerProvenance,layer-reading-note,p,medium,,,review,Layer logic,,,class=section-kicker
layerProvenance,layer-reading-note,h2,high,,,review,Each map layer answers a different question,,,
layerProvenance,layer-reading-note,span,low,,,review,Context,,,
layerProvenance,layer-reading-note,h3,high,,,review,Where are peatlands?,,,
