section_no,selector,heading,act,word_count,warning_count,editorial_score_1_10,recommended_action,reason,excerpt
1,#problem .hero,Moorbodenschutz braucht räumliche Orientierung,A1 Hook / promise,75,1,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Moore · Klimaschutz · regionale Planung Moorbodenschutz braucht räumliche Orientierung Wiedervernässung ist nicht nur eine ökologische Maßnahme. Sie verändert Nutzung, Betriebe, Wertschöpfung und Planung. 01 Kleine Fläche, große Wirkung Moore nehmen geringe Fl"
2,#story .section.is-retired,Sechsteilige Kartenstory,Unclear / supporting,3,0,7,keep_or_trim,Supportive section; retain only if it strengthens the five-act structure.,Kartenfolge Sechsteilige Kartenstory
3,.b131-scope-section,"Fachlicher Demonstrator, keine Eignungskarte",A1 Hook / promise,58,6,5,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Einordnung Fachlicher Demonstrator, keine Eignungskarte Diese Seite ordnet Moorbodenschutz räumlich ein und zeigt typische Zusammenhänge von Boden, Nutzung, Wasser und Wertschöpfung. Sie dient der Orientierung und Diskussion, nicht der Entscheidung über einzel"
4,#transitionLogic .transition-logic-block,"Moorbodenschutz wird erst mit Boden, Nutzung und Wasserstand planbar",A1 Hook / promise,26,0,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Kernargument Moorbodenschutz wird erst mit Boden, Nutzung und Wasserstand planbar Planbar wird Moorschutz erst, wenn Bodenkulissen, Nutzungskontexte, Wasserstand, betriebliche Fragen und mögliche Wertschöpfungsketten zusammen betrachtet werden."
5,#b119ClimateMechanism .b119-fachblock,"Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert",A2 Why it matters / scale jump,95,0,7,keep_or_trim,Supportive section; retain only if it strengthens the five-act structure.,"Grundlagen Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert Moorböden speichern Kohlenstoff im Torf. Werden sie entwässert, gelangt Sauerstoff in den Torfkörper; Torf wird abgebaut und es entstehen langfristige Treibhausgasemissionen – vor al"
6,.b136-frame-bridge,Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage,A2 Why it matters / scale jump,72,0,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Frame-Mismatch Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage Globale Karten erklären, warum Moore relevant sind. In der Praxis entscheidet sich das Thema dort, wo Wasserstand, Nutzung, Eigentum, Betriebe und Wertschöpfungsketten z"
7,#centralGlobalMapStory .central-map-story,Wo liegen die Moore?,A2 Why it matters / scale jump,200,2,7,move_to_appendix_or_keep_collapsed,Method/source material should support the feature but not dominate narrative pacing.,Moore sind räumlich konzentriert und klimatisch wirksam Moore sind räumlich stark konzentriert. Moorkontext Datenbasis: Global Peatland Map 2.0 und FAOSTAT-Emissionsdaten zu drainierten organischen Böden; eigene kartografische Aufbereitung. 01 Wo liegen die Mo
8,#moor-primer .section.moore-primer-section.moore-primer-bridge,Der Wasserstand macht aus Moorboden Speicher oder Quelle,A2 Why it matters / scale jump,120,0,7,keep_tighten_transition,Core regional proof point; keep but avoid repetition with Felt and area balance.,"Moore verstehen Der Wasserstand macht aus Moorboden Speicher oder Quelle Ein Moor ist kein gewöhnlicher Boden. Solange Torf nass bleibt, speichert er Kohlenstoff; wird er entwässert, wird er zur dauerhaften Emissionsquelle. Darum führt die Oberschwaben-Story v"
9,#b79RegionalImplementation .b79-section.b79-regional-implementation,In Oberschwaben wird Moorbodenschutz zur konkreten Nutzungsfrage,A2 Why it matters / scale jump,77,0,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Regionale Planung In Oberschwaben wird Moorbodenschutz zur konkreten Nutzungsfrage In Baden-Württemberg wird Moorschutz zur konkreten Planungsfrage: Welche Nutzungskontexte sind berührt, welche betrieblichen Fragen entstehen, welche Produkte können tragfähig w"
10,#b79Pathways .b79-section.b79-pathways,Unterschiedliche Flächen brauchen unterschiedliche Transformationspfade,A2 Why it matters / scale jump,67,0,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Transformationspfade Unterschiedliche Flächen brauchen unterschiedliche Transformationspfade Die zentrale Aufgabe ist nicht die eine Maßnahme, sondern die passende Kombination aus Wasserstand, Nutzung, Betriebsperspektive und öffentlicher Förderung. A Schützen"
11,#b79MethodeBoundary .b79-section.b79-method-boundary,"Die Karten zeigen Prüfbedarf, aber keine Flächeneignung",A3 Regional concretisation,36,1,8,candidate_for_flagship_zoom,This is where the premium sticky zoom should be earned.,"Methodische Grenze Die Karten zeigen Prüfbedarf, aber keine Flächeneignung Die Karten zeigen Bodenkontexte und räumliche Überschneidungen. Sie ersetzen keine Eignungsprüfung, Priorisierung oder betriebliche Betroffenheitsanalyse. Datenbasis: Global Peatland Ma"
12,#b119WhyOberschwaben .b119-fachblock.b119-fachblock--compact,Warum Oberschwaben?,A2 Why it matters / scale jump,56,0,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Fokusraum Warum Oberschwaben? Oberschwaben ist für Baden-Württemberg ein zentraler Fokusraum, weil sich hier Moor- und Feuchtbodenkontexte, landwirtschaftliche Nutzung und Fragen künftiger Wertschöpfung besonders deutlich überlagern. Der Blick auf die Region m"
13,#oberschwaben-layer-story .moore-ob-section,"Oberschwaben, wo Moorschutz auf Landwirtschaft trifft",A2 Why it matters / scale jump,188,5,4,compress_caveats,Too many caveats in the visible flow; move detail to method or collapse.,"Regionale Planung Oberschwaben, wo Moorschutz auf Landwirtschaft trifft Die regionale Karte zerlegt den Zusammenhang in einzelne Ebenen: Verwaltungsraum, landwirtschaftliche Nutzung, Moor-/Feuchtbodenkontext und ihre räumliche Überschneidung. Begriffliche Eino"
14,#oberschwaben-felt-pilot .b149-felt-pilot.b152-felt-integration,Die statische Karte zeigt die Lage – die interaktive Karte zeigt die Details,A2 Why it matters / scale jump,112,3,7,move_to_appendix_or_keep_collapsed,Method/source material should support the feature but not dominate narrative pacing.,Interaktive Vertiefung Die statische Karte zeigt die Lage – die interaktive Karte zeigt die Details Der vorherige Kartenabschnitt ordnet die Schnittmenge im Seitenfluss ein. Diese interaktive Version ist die Vertiefung: Sie zeigt dieselbe Kernaussage als schar
15,#oberschwaben-key-figures .section.moore-ob-keyfigures,"Die Schnittmenge macht den Prüfbedarf sichtbar, nicht die Lösung",A3 Regional concretisation,140,8,6,move_to_appendix_or_keep_collapsed,Method/source material should support the feature but not dominate narrative pacing.,"Flächenbilanz Die Schnittmenge macht den Prüfbedarf sichtbar, nicht die Lösung Die Karte bleibt eine räumliche Einordnung. Die Verschneidung zeigt, dass die Überschneidung von landwirtschaftlicher Nutzung und Moor-/Feuchtbodenkontext auch in der Bilanz sichtba"
16,#pathways .section.moore-pathways-section,"Aus der Schnittmenge folgt Verhandlung, keine Einheitslösung",A2 Why it matters / scale jump,233,3,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Transformationspfade Aus der Schnittmenge folgt Verhandlung, keine Einheitslösung Die Oberschwaben-Karte zeigt nicht, was auf einer einzelnen Fläche getan werden muss. Sie zeigt, wo unterschiedliche Transformationspfade verhandelt werden müssen: zwischen Wasse"
17,#wertschoepfung .section.section-dark.b130-engpass-climax.b130-option-a,Bis zur Ernte ist die Kette oft anschlussfähig — danach besteht häufig Entwicklungsbedarf.,A2 Why it matters / scale jump,246,1,7,move_to_appendix_or_keep_collapsed,Method/source material should support the feature but not dominate narrative pacing.,"Schematische Einordnung Bis zur Ernte ist die Kette oft anschlussfähig — danach besteht häufig Entwicklungsbedarf. Die Grafik ordnet typische Stufen der Wertschöpfungskette für nasse Moornutzung qualitativ ein. Sie zeigt keine Messwerte, sondern eine fachlich "
18,#value-chain-matrix .section.moore-value-section,"Nutzungskontexte entscheiden, welche Wertschöpfungspfade plausibel sind",A2 Why it matters / scale jump,290,1,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Nutzung und Wertschöpfung Nutzungskontexte entscheiden, welche Wertschöpfungspfade plausibel sind Transformationspfade entstehen nicht allein aus dem Bodenkontext. Entscheidend ist, welche heutige Nutzung betroffen ist, welche Wasserstände erreichbar sind und "
19,.b139-water-governance,"Wasser folgt Einzugsgebieten, nicht Eigentumsgrenzen",A2 Why it matters / scale jump,104,1,6,turn_into_visual_moment,"Good concept, but should become a diagrammatic editorial beat.","Wasser und Governance Wasser folgt Einzugsgebieten, nicht Eigentumsgrenzen Wiedervernässung wird nicht allein auf der einzelnen Fläche entschieden. Der Wasserstand verbindet Parzellen, Betriebe, Gräben, Vorfluter und Nachbarschaften. Deshalb beginnt Abstimmung"
20,.b137-consequence-kicker,Der Hebel verschiebt sich von der Fläche zur Kette,A5 Climax / bottleneck behind the field,91,0,6,rebuild_visual_climax,"The thesis is strong, but the visual language should become a memorable editorial graphic.","Konsequenz Der Hebel verschiebt sich von der Fläche zur Kette Wiedervernässung bleibt der ökologische Kern. Für die Praxis reicht die Flächenperspektive aber nicht aus: Entscheidend wird, ob Wasser, Nutzung, Verarbeitung und Nachfrage als zusammenhängendes Sys"
21,#quellen-methodik .b125-source-register.b125-source-register--compact,Grundlagen,A2 Why it matters / scale jump,579,17,5,move_to_appendix_or_keep_collapsed,Method/source material should support the feature but not dominate narrative pacing.,"Quellen, Methodik und Nutzungsrechte Datenbasis, fachliche Grundlagen und Rechtehinweise Details öffnen Die Seite ist eine räumliche Orientierung. Sie kombiniert öffentliche und projektbezogene Datengrundlagen mit eigener Auswahl, Klassifikation, Verschneidung"
