order;id;class;kicker;heading;word_count;snippet
1;problem;hero;Moore · Klimaschutz · regionale Planung;Moorbodenschutz braucht räumliche Orientierung;72;Moore · Klimaschutz · regionale Planung Moorbodenschutz braucht räumliche Orientierung Wiedervernässung verändert mehr als Wasserstände. Sie verändert Nutzung, Betriebe, Wertschöpfung und Planung. 01 Kleine Fläche, große
2;story;section is-retired;Kartenfolge;Sechsteilige Kartenstory;3;Kartenfolge Sechsteilige Kartenstory
3;;b131-scope-section;;Fachlicher Demonstrator, keine Eignungskarte;58;Einordnung Fachlicher Demonstrator, keine Eignungskarte Diese Seite ordnet Moorbodenschutz räumlich ein und zeigt typische Zusammenhänge von Boden, Nutzung, Wasser und Wertschöpfung. Sie dient der Orientierung und Diskus
4;transitionLogic;transition-logic-block;Kernargument;Planbar wird Moorbodenschutz erst mit Boden, Nutzung und Wasser;23;Kernargument Planbar wird Moorbodenschutz erst mit Boden, Nutzung und Wasser Moorschutz wird planbar, wenn Boden, Nutzung, Wasserstand, Betriebe und Wertschöpfung zusammen betrachtet werden.
5;b119ClimateMechanism;b119-fachblock;Grundlagen;Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert;95;"Grundlagen Der Wasserstand entscheidet, ob Moorboden speichert oder emittiert Moorböden speichern Kohlenstoff im Torf. Werden sie entwässert, gelangt Sauerstoff in den Torfkörper; Torf wird abgebaut und es entstehen lang"
6;;b136-frame-bridge;Frame-Mismatch;Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage;72;Frame-Mismatch Moorbodenschutz beginnt als Klimathema – und wird vor Ort zur Nutzungsfrage Globale Karten erklären, warum Moore relevant sind. In der Praxis entscheidet sich das Thema dort, wo Wasserstand, Nutzung, Eigen
7;karten;b169-live-sticky-zoom;Kartenfolge;Der Maßstab entscheidet;249;Kartenfolge Der Maßstab entscheidet Globale Karten zeigen, warum Moore relevant sind. Regional wird sichtbar, wo Planung beginnt. Auf kleinen Bildschirmen wird die Kartenfolge als vertikale Sequenz gelesen. Die Aussage b
8;moor-primer;section moore-primer-section moore-primer-bridge;Moore verstehen;Der Wasserstand macht aus Moorboden Speicher oder Quelle;120;"Moore verstehen Der Wasserstand macht aus Moorboden Speicher oder Quelle Ein Moor ist kein gewöhnlicher Boden. Solange Torf nass bleibt, speichert er Kohlenstoff; wird er entwässert, wird er zur dauerhaften Emissionsquel"
9;b79RegionalImplementation;b79-section b79-regional-implementation;Regionale Planung;In Oberschwaben wird Moorbodenschutz konkret;70;Regionale Planung In Oberschwaben wird Moorbodenschutz konkret In Baden-Württemberg wird Moorschutz zur Planungsfrage: Welche Nutzungen sind berührt, welche betrieblichen Fragen entstehen und welche Produkte könnten trag
10;b79Pathways;b79-section b79-pathways;Transformationspfade;Nicht jede Fläche braucht denselben Pfad;60;Transformationspfade Nicht jede Fläche braucht denselben Pfad Entscheidend ist die passende Kombination aus Wasserstand, Nutzung, Betriebsperspektive und Förderung. A Schützen und stabilisieren Naturnahe Moore erhalten, 
11;b79MethodeBoundary;b79-section b79-method-boundary;Methodische Grenze;Die Karten zeigen Prüfbedarf, aber keine Flächeneignung;36;Methodische Grenze Die Karten zeigen Prüfbedarf, aber keine Flächeneignung Die Karten zeigen Bodenkontexte und räumliche Überschneidungen. Sie ersetzen keine Eignungsprüfung, Priorisierung oder betriebliche Betroffenheit
